"Dates","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
2012-10-14,-35.6756288254826,72.0000000000001,31.174819255276,185.837110764758,-42.2807471938647,23.2832375200727,9.31861828325746,48.0000000000001,-24.99816871798,142.156037350831,31,4.57072541898714,89.5612554915669,11,316.272149099186,30.5127489277733,32.2504266138381,131.986058932419,128.84539451073,-22.6874987974996,195,118.187152157577,4.54995930740497,26.6406342784857,58.5253480980059,2.64975255244725,45,4.65810843694051,132,83.4793413973266,7.91473980097589,89.6250094817486,12.0260812082135,16.0570161792547,110,9,12.615378552183,55,79.6091460338906,-10,-0.0623260364503437,5.55217103871702,-118.436291001459,30.8756585914447,34.2004849957555,2.4215241435628,26.6240938515893
2012-10-21,-0.711723500257904,7,23,112.732320391194,-5.19389277421138,13.5831570160843,14.2983902670784,103,-35.4831960567678,71.3931767400838,-6.18847466880038,1,37.4111030500111,0.00521182765835704,336.09529257902,14.3650727572095,-5.36047099566561,5.58806891974342,42.3086329211657,-15.408023985716,80.9999999999999,28.5287562842849,-1.04222861887449,24.9863805589596,49.1883204556284,2.02847357919954,45,0.790086066208232,76,18.4339178883692,-3.57576279814935,27.89462408184,19.2569409169668,9.77442887352549,-66.8298177019126,13,-5.89533587940988,-11,65.3934345737127,187,16.6108293001195,-8.68525944205908,113.41502117693,16.6893670043236,14.7532499740883,-3.43262447282784,2.44112385191667
2012-10-28,0.573520063257774,57,-10,97.7071781067073,15.5955781037623,14.597920295081,-1.98059046146237,75.9999999999999,-1.30648406383206,109.195588858018,0,11.2839391439776,75.0311630456552,-25.9825963954569,267.394193434149,4.23432807886554,-14.1199049020019,16.9083374122713,23.4606743389015,8.75113199459303,66.9999999999998,29.2558038575039,0.528835810202685,23.8555051509436,6.58508315992977,-1.54407127184096,-34,-43.3764315389514,-10,88.591137288123,-17.402159750366,3.88161080767333,-14.3789408065466,5.5536378196988,-23.8338132011205,-1.77635683940025e-15,-5.21262634070606,-2.00000000000001,83.814253566146,129,86.7384049227171,-1.50758951488692,29.38448090304,25.0650434619074,-26.4984350885372,-16.1303237069831,-43.4457907033595
2012-11-04,64.2971634712761,30,-11,95.1941649823569,39.7961647567781,23.2160200058874,2.19418083377353,309,32.017432484214,150.471353915701,27,7.91401265013449,11.3675638917437,-2.89572551699862,553.819324743311,11.3510355211132,18.3415047736854,-89.7922980001558,5.0171732598977,9.11140309705035,131,33.3335387672649,-1.16525246091344,-13.0362686082103,0.317119829472588,3.61743123273831,9,32.2049397713153,-17.9999999999999,180.520234442564,6.22527164895382,14.933894933528,5.49372326402895,-3.11818921085824,-39.0524633105175,-6,3.93551178054241,-12,90.1731584699839,546,59.2100278333247,-2.31478563159692,73.1733517186909,18.316452298447,-41.3923320654338,-4.46792318121044,-73.6286371463701
2012-11-11,219.972730247597,85.0000000000001,-18,44.5053612817239,65.3498189737168,21.1877658636152,-0.191850477365978,423,83.123584308307,132.244214547094,25.3619559220263,18.6348723322702,7.28382313950719,-1.03670028254897,379.673883791705,15.5412485468696,-1.47091255486436,-1.17474074038731,67.7121642902086,0.0148852431186732,272,85.9693018646826,1.90530889240923,32.0183791246121,0.230210051715986,0.387222535813171,-10,53.8207701119385,47,95.4076549069365,10.3913557407765,36.8919895466975,-17.0991492323296,-10.1154485850389,5.02267337643062,-15,20.3473660495235,21,93.1289206546257,280.66248080114,88.2357661621587,0.356347762106282,143.152929139677,23.7485912979232,-30.14710550415,14.9436108332278,-12.1552309174154
2012-11-18,375.691195566976,-2.8421709430404e-14,22,-201.617027594585,20.0898929618101,-1.36635976898267,25.028599468721,397,57.1935820999021,40.3157237576976,5,3.44619169069623,-55.9039163880354,36.9167082077084,384.762667323612,-5.37701253249506,33.4399307888892,26.831390571439,15.1154326470893,-1.15480937671653,522,80.4523088109857,4.21524862830318,-14.2240007297924,1.72566703336868,-0.388110548242776,23,54.8895483067733,92,60.4783434219536,6.88946026595971,67.6268703518267,-5.43647403840955,-23.6918938673159,-17.501989236498,5,35.6249129391332,-4.00000000000001,233.871326929876,458.092560494924,108.272094908554,-8.57797468271273,444.727290773773,5.47854212107386,6.24306884662121,12.9123057233889,-4.60423560391547
2012-11-25,597.649628118564,-7,52,58.0086983017691,81.451098164544,23.2983714222801,19.4508130126722,499,24.4109791525406,230.768560936479,57.2771239307555,13,-4.24104426465671,53.6653935109533,671.548889856357,13.2137734803964,0.718695063944693,119.119311513257,44.4428620308487,6.89691569572878,328,88.0916517801188,-0.0114265976248609,73.8724517890014,38.5655807841172,6.87861273256431,81,41.4885424633115,122,212.414052580209,-1.79086597790053,161.938915800739,69.3946186354682,-12.6036796301702,33.746004206547,17,145.274517540307,18,287.541517573584,378,181.715645704176,17.3688969874226,598.303114712696,22.5766028640295,29.1659351913836,14.3333360805214,48.9313931749215
2012-12-02,1065.66541073343,57,75,38.9070462098545,126.603244184618,21.7793421480059,33.7049172781469,551,-59.6900224535333,675.822421836141,165.879218576495,25,115.713872958429,87.3059683183342,1016.04192401937,-8.87542593487571,68.9355095989412,297.48548001145,56.3934986892392,8.97459462432023,661,87.0071206239973,2.26014349925559,18.5531876691591,-1.38043059595236,13.2383431602885,69,-26.6808120133006,209,988.018819081118,-1.168770853058,239.680008818004,89.4069292284632,20.9615274544604,172.531120172535,73,314.473647087018,16,575.431401563861,960,149.410384687132,16.2285557225001,811.355230301624,-8.45671341787313,179.483510725794,37.5920581976045,118.163726812657
2012-12-09,1054.26688791152,151,107,221.069106500891,251.637564835252,39.813802170728,33.5590208355181,690.595237801043,-29.5813377734415,1167.00239436677,375.853507265698,64.7493397244508,139.357409745218,105.538075060138,1358.43596828128,42.3343107182681,104.305583932184,403.791024371112,143.155605234007,53.8949095120466,444,123.270442355581,-0.842400739435092,36.4419375144328,55.5861901541098,35.1883975593351,54,20.6452888943976,330,1063.64021808274,5.85426291178556,341.6501638178,145.094848383307,37.7360124215031,358.402564824836,147,218.411753503612,18,378.635315401073,573.29963347562,222.659328040108,68.6794547383661,1187.94531669324,18.4550556472626,312.944002474099,39.1390087471327,123.280230775047
2012-12-16,773.11600131493,207,123,161.811583850703,323.769301071527,40.9458296621721,4.50680148555934,175.091949502215,17.7904374165633,1225.65757409168,323,11.5863353533549,166.696318657567,87.7857156745069,1161.60088674857,76.9804237452848,216.951669939607,625.947712713943,204.990694037368,93.408092860594,670,124.8736640159,23.5924553319588,170.005182996904,7.57320735163879,72.1639205467708,5.00000000000006,30.9890522119853,302,416.631297612557,48.3162189441032,465.536412681786,47.5665228306437,13.2710149525057,336.800887924303,139,113.2493867656,51,237.973695853343,1756.47179023497,265.615623028025,74.2365432913488,2387.05784234526,-2.20865134244889,289.534572885588,51.2299579284825,256.678460199454
