"MEAN_WIS_W3_AUTO_ARIMA","MAE_W3_AUTO_ARIMA"
183.276385773047,349.866445946689
69.1249725653426,128.18072234999
38.5102747348477,69.4657826149523
280.600708831863,526.424196355678
115.901177533004,199.833277220066
90.1433441674422,155.254318833642
11.8317223586847,19.6293476520641
292.171962885041,588.566312820372
21.41666742285,32.9792475489032
174.024566833911,345.439632583572
73.8259586722477,131.7379519731
16.3073860939635,27.0078187442134
46.2955684987931,87.6865462169224
83.302530113761,152.611592047555
228.755123178171,449.592494949569
28.0439820178862,48.9673413918508
101.649192289976,170.101037005712
136.196523556618,268.929723117033
102.495633995639,190.005454892575
44.6338013276191,75.9906808937107
85.0450147835566,166.178683781688
54.1061572016626,82.145035309771
12.8065422729284,21.179532715952
41.1620174282278,75.2325345589696
45.308927715183,79.1891178630529
7.6649164815391,12.8814402201034
111.557890464289,198.869151380751
91.6258272246326,185.873761266198
167.673385646466,264.058370757445
228.70912181497,412.337931128921
12.7703743745272,21.5892530956147
75.6953782494751,143.140053046892
58.9608548192578,102.826061557109
77.1370329876793,136.73116606503
116.193673613013,226.385421748663
23.2552833532129,41.2099346957375
89.362289484861,162.373214392379
22.4306455902172,38.2051651368812
143.000481384164,259.110021434671
221.031244601115,420.205297338627
89.9994392789853,139.464184068824
11.3074024053261,20.8079298410098
498.361730348776,883.435168336737
71.7191824469834,132.985022906256
50.6346016256176,92.1749719336179
40.9629859491537,67.3523206606621
16.3400143414659,29.8954709776146
